horizon_s,variant,feature_set,model,folds,test_rows_total,accuracy_evaluable_folds,accuracy_mean,accuracy_sd,macro_f1_evaluable_folds,macro_f1_mean,macro_f1_sd,precision_evaluable_folds,precision_mean,precision_sd,recall_evaluable_folds,recall_mean,recall_sd,f1_positive_evaluable_folds,f1_positive_mean,f1_positive_sd,roc_auc_evaluable_folds,roc_auc_mean,roc_auc_sd,pr_auc_evaluable_folds,pr_auc_mean,pr_auc_sd,brier_evaluable_folds,brier_mean,brier_sd,positive_rate_evaluable_folds,positive_rate_mean,positive_rate_sd
5,all_sessions,engineering_baseline,AlwaysNegative,5,7204,5,0.9764472610915276,0.023646133364033307,5,0.49398369163149153,0.006055348446734591,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,3,0.5,0.0,3,0.03925456484745402,0.01391857497452643,5,0.023552738908472415,0.023646133364033296,5,0.023552738908472415,0.023646133364033296
5,all_sessions,engineering_baseline,PersistenceH0,5,7204,5,0.9764472610915276,0.023646133364033307,5,0.49398369163149153,0.006055348446734591,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,3,0.5,0.0,3,0.03925456484745402,0.01391857497452643,5,0.023552738908472415,0.023646133364033296,5,0.023552738908472415,0.023646133364033296
5,all_sessions,euclidean_only,ExtraTrees,5,7204,5,0.9771196108843722,0.02193234735442593,5,0.5813035070141837,0.14014049864078001,5,0.17316138027187172,0.26576003492678035,5,0.18034412365121028,0.31028074584983106,5,0.17441351266812638,0.28449939204183333,3,0.9618267997139157,0.03173403103475236,3,0.5368732213444473,0.2513980036290861,5,0.01962188679461377,0.019191546071703234,5,0.023552738908472415,0.023646133364033296
5,all_sessions,euclidean_only,HistGradientBoosting,5,7204,5,0.9720543269258013,0.02898601159087373,5,0.6150798835981715,0.1314889916979265,5,0.31382270091135045,0.3764473199280982,5,0.2369853768278965,0.23714640128486913,5,0.244715663250135,0.2699145556354019,3,0.9515986549301134,0.039244985502626985,3,0.5573184392723627,0.2292221772203719,5,0.017252912103603142,0.015806985597560382,5,0.023552738908472415,0.023646133364033296
5,all_sessions,euclidean_only,LogisticRegression,5,7204,5,0.9704294008241734,0.028070146059843905,5,0.6276050601595835,0.1369591823705464,5,0.25057432946158076,0.2829935892115127,5,0.31492896721243174,0.3055485607058275,5,0.2707068008430552,0.28427288623030517,3,0.9518344033952651,0.03772467946929793,3,0.4302282844420184,0.2492797412341445,5,0.018650206878825296,0.0174565376733741,5,0.023552738908472415,0.023646133364033296
5,all_sessions,euclidean_only,RandomForest,5,7204,5,0.9743414512540521,0.023949253387718483,5,0.5854661867776152,0.09752994031223389,5,0.35587008997147246,0.40414861585068895,5,0.1655626380035829,0.1873378184616386,5,0.18417411048989996,0.20360473877609228,3,0.9681003871188166,0.021525696674119004,3,0.5870716364893219,0.17412115456821978,5,0.016161210149398513,0.015089489492910614,5,0.023552738908472415,0.023646133364033296
5,all_sessions,full_graph,ExtraTrees,5,7204,5,0.9794471613694486,0.020804213336250082,5,0.6022090143137186,0.1535776070161597,5,0.2303193535975375,0.33076556372218013,5,0.20163312919218432,0.29183789630321827,5,0.21500000000000002,0.3100403199585499,3,0.9595152759346114,0.03478480801656097,3,0.5191025674307413,0.2565075686995039,5,0.019539318313074018,0.019666036427630883,5,0.023552738908472415,0.023646133364033296
5,all_sessions,full_graph,HistGradientBoosting,5,7204,5,0.9790119235792467,0.0194834344085938,5,0.6496144705785073,0.15605740633606957,5,0.322699986039369,0.3491011172748146,5,0.3103112110986127,0.3137684106077846,5,0.31014591874404956,0.3201687280814132,3,0.9294572034758914,0.06241867196305333,3,0.5483166678260755,0.279568015274823,5,0.016053763231109592,0.014797662524173099,5,0.023552738908472415,0.023646133364033296
5,all_sessions,full_graph,LogisticRegression,5,7204,5,0.9687408181438253,0.028794379109110986,5,0.5971131993241896,0.09459058740639074,5,0.22341331849219773,0.241805904041737,5,0.22230054576511268,0.20560733452226218,5,0.21052064385641134,0.20304448124987834,3,0.9362944968159471,0.03967165121692101,3,0.3509566564427831,0.25017901032573114,5,0.01908576554005173,0.018088985032246402,5,0.023552738908472415,0.023646133364033296
5,all_sessions,full_graph,RandomForest,5,7204,5,0.9814372929264088,0.017384255579397507,5,0.6462136022897175,0.14236396372731444,5,0.38941667586156165,0.3950122456692982,5,0.2624688580594092,0.2708116534236668,5,0.30205348030210244,0.2936931895849809,3,0.970230669073254,0.025116141106151325,3,0.5836545225169631,0.2585060633716867,5,0.015263521899674925,0.014239089105051998,5,0.023552738908472415,0.023646133364033296
