horizon_s,model,folds,pr_auc_evaluable_folds,macro_f1_mean,macro_f1_sd,pr_auc_mean,pr_auc_sd,f1_positive_mean,recall_mean,brier_mean
5,ProvenanceConditionedHazard,5,3,0.6787968583003908,0.31382692936933376,0.19128764629179137,0.18640231986964523,0.06267882509279202,0.2323809523809524,0.045162034138502734
5,TelemetryHazard,5,3,0.6074166220352503,0.22248422365384976,0.1927828601657439,0.29633449540571055,0.03333333333333333,0.01889763779527559,0.024373506884724335
5,UngatedGraphHazard,5,3,0.7071820962225994,0.2786254751288009,0.26320629789734523,0.11134834538501119,0.08788938038572293,0.25069366329208853,0.02952343858087585
10,ProvenanceConditionedHazard,5,3,0.5358986451869356,0.3401417343401288,0.31414751852015455,0.2880731539060279,0.08314770246823754,0.246875,0.12343818252312382
10,TelemetryHazard,5,3,0.5027109593588968,0.1484021435390199,0.24367410729007818,0.34110627113375946,0.1053763440860215,0.08448275862068966,0.051759445688445385
10,UngatedGraphHazard,5,3,0.6841793823529297,0.3311704980072431,0.36424243953053964,0.21923413433857883,0.11954568018183317,0.27191091954022995,0.08602275334627654
20,ProvenanceConditionedHazard,5,3,0.5849519504977845,0.407225935466866,0.38454885886164153,0.30601991182476257,0.019679633867276888,0.2,0.23536000214794878
20,TelemetryHazard,5,3,0.4794178998164852,0.15939107797313481,0.2620072863658507,0.23544357720529624,0.11817058096415327,0.11273584905660376,0.14194700329602958
20,UngatedGraphHazard,5,3,0.6359457188734833,0.3954579040143238,0.3990555886906632,0.2959324854681231,0.11368493957128512,0.2740566037735849,0.21569921049532742
