horizon_s,model,feature_set,folds,pr_auc_mean,pr_auc_sd,macro_f1_mean,macro_f1_sd,f1_positive_mean,f1_positive_sd,brier_mean,brier_sd,comparison_role
5,RandomForest,full_graph_no_soc,5,0.597745798703527,0.2671297774934823,0.6737581358902647,0.1723435713456099,0.3555309625403664,0.3516054007302438,0.0157137713905166,0.0148316141127736,best_tabular_from_existing_experiment
10,RandomForest,full_graph_no_soc,5,0.6748331259986741,0.144985689827843,0.563161230502496,0.1024948113459027,0.1521062717204196,0.2121485279433198,0.0382784101320877,0.0417615906225617,best_tabular_from_existing_experiment
20,HistGradientBoosting,euclidean_only,5,0.5972377035177517,0.0619028099786097,0.5758028713257429,0.1021392166718023,0.2113962627400578,0.2489051336164895,0.082511399845046,0.0813944877452676,best_tabular_from_existing_experiment
5,TemporalGRU10s,full_graph_no_soc,5,0.40445851104747743,0.18726609049201182,0.6080855361613243,0.12458183996373941,0.23041921347018798,0.26001397618744204,0.01755833933182876,0.016645676286627605,pre_specified_temporal_baseline
10,TemporalGRU10s,full_graph_no_soc,5,0.5295943474686707,0.25356471677131565,0.6383939770677256,0.15104361454314008,0.30475985123364147,0.3170853622598051,0.036618712506922384,0.03227175452860839,pre_specified_temporal_baseline
20,TemporalGRU10s,full_graph_no_soc,5,0.3521517746706193,0.21249904027399885,0.5477170476845568,0.11068199860239812,0.21269174994897755,0.25599466587678477,0.10813761924733964,0.06789975830460243,pre_specified_temporal_baseline
