horizon_s,model,feature_set,folds,test_rows_total,accuracy_evaluable_folds,accuracy_mean,accuracy_sd,macro_f1_evaluable_folds,macro_f1_mean,macro_f1_sd,precision_evaluable_folds,precision_mean,precision_sd,recall_evaluable_folds,recall_mean,recall_sd,f1_positive_evaluable_folds,f1_positive_mean,f1_positive_sd,roc_auc_evaluable_folds,roc_auc_mean,roc_auc_sd,pr_auc_evaluable_folds,pr_auc_mean,pr_auc_sd,brier_evaluable_folds,brier_mean,brier_sd,positive_rate_evaluable_folds,positive_rate_mean,positive_rate_sd
5,TemporalGRU10s,full_graph_no_soc,5,7204,5,0.9727422870066669,0.027771246084068515,5,0.6080855361613243,0.12458183996373941,5,0.23069302895692978,0.2559752158442553,5,0.2346689997083698,0.26804502339337255,5,0.23041921347018798,0.26001397618744204,3,0.886962398051204,0.11119674835229121,3,0.40445851104747743,0.18726609049201182,5,0.01755833933182876,0.016645676286627605,5,0.023552738908472415,0.023646133364033296
10,TemporalGRU10s,full_graph_no_soc,5,6151,5,0.9487051919376116,0.04838983134699199,5,0.6383939770677256,0.15104361454314008,5,0.3186756852170386,0.37106392918046927,5,0.35880028735632186,0.3306945399971668,5,0.30475985123364147,0.3170853622598051,3,0.9166438983880846,0.011199186630259827,3,0.5295943474686707,0.25356471677131565,5,0.036618712506922384,0.03227175452860839,5,0.04670420096354096,0.05166353019288221
20,TemporalGRU10s,full_graph_no_soc,5,4644,5,0.8052473262278094,0.043072420939325035,5,0.5477170476845568,0.11068199860239812,5,0.24687416256587386,0.27474801020611245,5,0.33589936602563136,0.43312243951318585,5,0.21269174994897755,0.25599466587678477,3,0.758605486443568,0.09899759753612618,3,0.3521517746706193,0.21249904027399885,5,0.10813761924733964,0.06789975830460243,5,0.10816801929068558,0.13100466382634274
