horizon_s,model,rows,accuracy,macro_f1,degradation_recall,degradation_f1,roc_auc,pr_auc,brier,features_used,table,feature_group,label_config
0,GradientBoosting,2907.0,0.8458892328861369,0.8449604429701629,0.7844101123595506,0.8329604772557793,0.8878047648632063,0.900860274907588,0.1251836181027452,39.0,model_comparison,,
0,ExtraTrees,2907.0,0.8593051255589955,0.8590959700074838,0.8377808988764045,0.8536672629695885,0.9066655238773517,0.9177703679593927,0.11787519772613192,31.0,feature_ablation,NO_SOC,
0,ExtraTrees,2907.0,0.8386652906776746,0.8370884277690145,0.7905951506245408,0.8210606638687524,0.8979775733732046,0.8905175032086198,0.12920710848010233,39.0,label_sensitivity,,strict
