session_id,session_role,rows_1hz,battery_min_percent,battery_max_percent,mean_speed_mps,stop_share,very_slow_share,mean_power_W,graph_valid_edge_share,degraded_h5_rate_default,source_file,raw_rows,raw_battery_min_percent,raw_battery_max_percent
S1_LOW_SOC_STRESS,LOW_SOC_STRESS,8027,2.0,59.0,0.13391941317818287,0.46243926747228103,0.46679955151364144,244.0006228977202,0.9779494207051203,0.5508907437398779,01_real_agv_live_LOW_SOC_STRESS.csv,4240,2.0,59.0
S2_HIGH_SOC_CONTROL,HIGH_SOC_CONTROL,1679,79.0,83.0,0.1750648872524127,0.3013698630136986,0.3025610482430018,276.99821322215604,0.9452054794520548,0.4187574671445639,02_real_agv_live_HIGH_SOC_CONTROL.csv,790,79.0,83.0
