session_role,rows,true_degraded_rate,mean_warning_probability,warning_share_prob_ge_040,high_risk_share_prob_ge_070,charge_check_share
HIGH_SOC_CONTROL,1665,0.4156156156156156,0.3951493525795178,0.43543543543543545,0.13573573573573575,0.0
LOW_SOC_STRESS,2406,0.5960099750623441,0.5838125958368695,0.6541978387364921,0.4833748960931006,0.04821280133000831
