horizon_s,feature,importance
0,current_speed,0.10744608165511238
0,current_power_W,0.10423157930902732
0,nav_state,0.059378888740004264
0,current_distance_to_target_m,0.05835816181842888
0,distance_to_target_m,0.05224637254187644
0,hist_speed_max,0.045884897454682695
0,hist_very_slow_share,0.04009338848862234
0,hist_speed_mean,0.03442612951877222
0,hist_stop_share,0.033082682108170024
0,hist_power_std,0.030011985638389138
0,snap_node,0.029968138128181554
0,hist_target_progress_m,0.029754161715985848
0,snap_dist,0.02791491759467723
0,hist_soc_drop,0.02302907319808813
0,hist_power_mean,0.02239823801894096
0,hist_xy_motion_m,0.021901678073900366
0,going_to_id,0.021164794734811233
0,current_segment,0.020643174830263015
0,type_station,0.02056262695514595
0,node_degree,0.01982044208633398
0,hist_moving_share,0.019081296115965016
0,hist_brake_share,0.01866911479499396
0,position_confidence,0.018138816946639633
0,hist_soc_mean,0.01762119333622281
0,edge_distance_m,0.017011379696904014
0,hist_speed_std,0.015829145706349045
0,current_soc,0.015301418377215749
0,hist_soc_min,0.015276308617468261
0,current_edge_distance_m,0.015274501942862485
0,soc_band_code,0.0120843761472843
0,type_intersection,0.009736481382925957
0,hist_speed_min,0.008124949216297214
0,type_corridor,0.006452648608821084
0,low_soc_30,0.003597498742119386
0,charging_flag,0.0018667971855009105
0,low_soc_20,0.001855701059195104
0,current_graph_valid_edge,0.0012939628219200852
0,critical_soc_10,0.00046699669190103995
0,hist_scanner_violation_share,0.0
5,current_speed,0.07303680724997252
5,current_power_W,0.06579861935464135
5,current_distance_to_target_m,0.06388207592135153
5,distance_to_target_m,0.05729666434846203
5,hist_speed_max,0.043974523171215855
5,nav_state,0.04272431556757012
5,hist_very_slow_share,0.034129382667314204
5,snap_node,0.03250053325504534
5,current_edge_distance_m,0.03247798322473171
5,edge_distance_m,0.0321392377107029
5,snap_dist,0.03026715423339883
5,hist_soc_mean,0.029762703608843134
5,hist_power_mean,0.02906757516586173
5,hist_power_std,0.02898735902782582
5,hist_speed_mean,0.02754248111880187
5,hist_soc_drop,0.027019323118580848
5,current_segment,0.026644770702682858
5,hist_target_progress_m,0.026341000847414916
5,hist_xy_motion_m,0.026179204734953568
5,hist_stop_share,0.025981535717949897
5,current_soc,0.025597662911482175
5,going_to_id,0.024957463187998036
5,node_degree,0.024950212080835903
5,hist_soc_min,0.023839799782825195
5,hist_brake_share,0.020320498958019937
5,hist_speed_std,0.0200392549909457
5,position_confidence,0.019327316077496617
5,hist_moving_share,0.019059077400718258
5,soc_band_code,0.018412031508765418
5,type_intersection,0.010461547806663129
5,type_corridor,0.009608633658607207
5,type_station,0.009172760158870596
5,hist_speed_min,0.007209599161368366
5,low_soc_30,0.0047735208925870475
5,charging_flag,0.002563776069244815
5,low_soc_20,0.001719174198662089
5,current_graph_valid_edge,0.0014285936846724875
5,critical_soc_10,0.0008058267229157554
5,hist_scanner_violation_share,0.0
10,current_power_W,0.06874896100783164
10,distance_to_target_m,0.060485982011508434
10,current_distance_to_target_m,0.0560761452164943
10,current_speed,0.05148725094767304
10,snap_dist,0.03694470509943242
10,hist_soc_mean,0.034588096949415566
10,current_segment,0.03427462398940706
10,hist_power_std,0.033539369925753876
10,hist_target_progress_m,0.03329690559415245
10,hist_soc_min,0.03294490495015486
10,hist_power_mean,0.03253466108563657
10,hist_very_slow_share,0.030641664762216525
10,hist_speed_max,0.030578696934053278
10,current_soc,0.02998611432965447
10,current_edge_distance_m,0.02843286711339754
10,nav_state,0.02800721480491521
10,edge_distance_m,0.027516817893765866
10,hist_speed_mean,0.02679014148196457
10,node_degree,0.026787272953250608
10,snap_node,0.026679518098079946
10,hist_xy_motion_m,0.02633704342819859
10,hist_soc_drop,0.025794154357627986
10,position_confidence,0.02541963719279108
10,hist_speed_std,0.02525780577344407
