horizon_s,model,rows,accuracy,macro_f1,degradation_recall,degradation_f1,roc_auc,pr_auc,brier,features_used
0,GradientBoosting,2907.0,0.8458892328861369,0.8449604429701629,0.7844101123595506,0.8329604772557793,0.8878047648632063,0.900860274907588,0.1251836181027452,39.0
0,RandomForest,2907.0,0.8324733402132783,0.8315083259255944,0.7724719101123596,0.8187569780424265,0.8768252271056999,0.8863707038280839,0.1481818729996334,39.0
0,ExtraTrees,2907.0,0.8297213622291022,0.8293140904704771,0.7970505617977528,0.8209764918625678,0.888123688317789,0.8984713750853193,0.13205512039889125,39.0
0,LogisticRegression,2907.0,0.8242174062607499,0.8239272940625657,0.7998595505617978,0.8167802079598422,0.8692425674498245,0.848127279206513,0.13955233381942925,39.0
5,GradientBoosting,2905.0,0.7783132530120482,0.7781491853698612,0.7539737387698687,0.7721160651096957,0.8316350085271739,0.8475780090336487,0.16223094718220943,39.0
5,ExtraTrees,2905.0,0.7566265060240964,0.75621051382109,0.7180373185901866,0.7461400359066427,0.8115861965013467,0.8160159503902942,0.17814022957883674,39.0
10,GradientBoosting,2904.0,0.7544765840220385,0.7538458465784244,0.7014413177762526,0.7413855640188611,0.8040892595334869,0.8196587215833125,0.17843978369049934,39.0
10,ExtraTrees,2904.0,0.7103994490358126,0.7097907237419594,0.6623198352779684,0.6964994586791772,0.7695691604384429,0.7824451851022718,0.19563328309776448,39.0
10,RandomForest,2904.0,0.6931818181818182,0.6923277787468844,0.6382978723404256,0.6761177753544165,0.7552415975304977,0.7463059530721601,0.20225960139238255,39.0
5,LogisticRegression,2905.0,0.685025817555938,0.6824427705262162,0.5970974429854872,0.6538024971623155,0.7724069381521581,0.772837882444213,0.19835749531866206,39.0
5,RandomForest,2905.0,0.689156626506024,0.6811620889889607,0.5328265376641327,0.6306748466257669,0.7810677784698107,0.7830385939607581,0.19703949736622794,39.0
10,LogisticRegression,2904.0,0.678030303030303,0.677312127582478,0.6286890871654084,0.6620889049512106,0.7451954888323603,0.7663617634741579,0.20593183398186934,39.0
20,GradientBoosting,2901.0,0.6739055498104102,0.6730888352470632,0.7221458046767538,0.6894287590282338,0.7430112009004067,0.7595261121360471,0.2122548439439249,39.0
20,ExtraTrees,2901.0,0.6549465701482248,0.6549332854216107,0.6595598349381018,0.657074340527578,0.6804249935121662,0.6787098162938452,0.23696166319278447,39.0
20,LogisticRegression,2901.0,0.6446053085143054,0.6445848682824427,0.6506189821182944,0.6472801915839891,0.7004205922417867,0.7380634214544719,0.22228629005544023,39.0
20,RandomForest,2901.0,0.619786280592899,0.6196821606996472,0.6348005502063274,0.6259749067480502,0.6622799721284562,0.6543562668030471,0.2375984636869709,39.0
