accuracy,macro_f1,degradation_precision,degradation_recall,degradation_f1,roc_auc,pr_auc,brier,tn,fp,fn,tp,experiment,feature_group,label_config,horizon_s,model,status,train_rows,test_rows,positive_rate_test,features_used
0.8242174062607499,0.8239272940625657,0.8344322344322345,0.7998595505617978,0.8167802079598422,0.8692425674498245,0.848127279206513,0.13955233381942925,1257,226,285,1139,model_comparison,FULL,default,0,LogisticRegression,ok,6781,2907,0.48985208118335055,39
0.8297213622291022,0.8293140904704771,0.8463832960477256,0.7970505617977528,0.8209764918625678,0.888123688317789,0.8984713750853193,0.13205512039889125,1277,206,289,1135,model_comparison,FULL,default,0,ExtraTrees,ok,6781,2907,0.48985208118335055,39
0.8324733402132783,0.8315083259255944,0.8709422011084719,0.7724719101123596,0.8187569780424265,0.8768252271056999,0.8863707038280839,0.1481818729996334,1320,163,324,1100,model_comparison,FULL,default,0,RandomForest,ok,6781,2907,0.48985208118335055,39
0.8458892328861369,0.8449604429701629,0.8879173290937997,0.7844101123595506,0.8329604772557793,0.8878047648632063,0.900860274907588,0.1251836181027452,1342,141,307,1117,model_comparison,FULL,default,0,GradientBoosting,ok,6781,2907,0.48985208118335055,39
0.685025817555938,0.6824427705262162,0.7224080267558528,0.5970974429854872,0.6538024971623155,0.7724069381521581,0.772837882444213,0.19835749531866206,1126,332,583,864,model_comparison,FULL,default,5,LogisticRegression,ok,6778,2905,0.49810671256454386,39
0.7566265060240964,0.75621051382109,0.7765321375186846,0.7180373185901866,0.7461400359066427,0.8115861965013467,0.8160159503902942,0.17814022957883674,1159,299,408,1039,model_comparison,FULL,default,5,ExtraTrees,ok,6778,2905,0.49810671256454386,39
0.689156626506024,0.6811620889889607,0.7725450901803608,0.5328265376641327,0.6306748466257669,0.7810677784698107,0.7830385939607581,0.19703949736622794,1231,227,676,771,model_comparison,FULL,default,5,RandomForest,ok,6778,2905,0.49810671256454386,39
0.7783132530120482,0.7781491853698612,0.7911530094271211,0.7539737387698687,0.7721160651096957,0.8316350085271739,0.8475780090336487,0.16223094718220943,1170,288,356,1091,model_comparison,FULL,default,5,GradientBoosting,ok,6778,2905,0.49810671256454386,39
0.678030303030303,0.677312127582478,0.6992366412213741,0.6286890871654084,0.6620889049512106,0.7451954888323603,0.7663617634741579,0.20593183398186934,1053,394,541,916,model_comparison,FULL,default,10,LogisticRegression,ok,6774,2904,0.5017217630853994,39
0.7103994490358126,0.7097907237419594,0.7343987823439878,0.6623198352779684,0.6964994586791772,0.7695691604384429,0.7824451851022718,0.19563328309776448,1098,349,492,965,model_comparison,FULL,default,10,ExtraTrees,ok,6774,2904,0.5017217630853994,39
0.6931818181818182,0.6923277787468844,0.7187017001545595,0.6382978723404256,0.6761177753544165,0.7552415975304977,0.7463059530721601,0.20225960139238255,1083,364,527,930,model_comparison,FULL,default,10,RandomForest,ok,6774,2904,0.5017217630853994,39
0.7544765840220385,0.7538458465784244,0.7861538461538462,0.7014413177762526,0.7413855640188611,0.8040892595334869,0.8196587215833125,0.17843978369049934,1169,278,435,1022,model_comparison,FULL,default,10,GradientBoosting,ok,6774,2904,0.5017217630853994,39
0.6446053085143054,0.6445848682824427,0.6439754935330156,0.6506189821182944,0.6472801915839891,0.7004205922417867,0.7380634214544719,0.22228629005544023,924,523,508,946,model_comparison,FULL,default,20,LogisticRegression,ok,6767,2901,0.5012064805239572,39
0.6549465701482248,0.6549332854216107,0.6546075085324232,0.6595598349381018,0.657074340527578,0.6804249935121662,0.6787098162938452,0.23696166319278447,941,506,495,959,model_comparison,FULL,default,20,ExtraTrees,ok,6767,2901,0.5012064805239572,39
0.619786280592899,0.6196821606996472,0.6173913043478261,0.6348005502063274,0.6259749067480502,0.6622799721284562,0.6543562668030471,0.2375984636869709,875,572,531,923,model_comparison,FULL,default,20,RandomForest,ok,6767,2901,0.5012064805239572,39
0.6739055498104102,0.6730888352470632,0.6595477386934674,0.7221458046767538,0.6894287590282338,0.7430112009004067,0.7595261121360471,0.2122548439439249,905,542,404,1050,model_comparison,FULL,default,20,GradientBoosting,ok,6767,2901,0.5012064805239572,39
0.8297213622291022,0.8293140904704771,0.8463832960477256,0.7970505617977528,0.8209764918625678,0.8881296074613408,0.8984709010741947,0.13205512039889125,1277,206,289,1135,feature_ablation,FULL,default,0,ExtraTrees,ok,6781,2907,0.48985208118335055,39
0.8593051255589955,0.8590959700074838,0.8701677607585704,0.8377808988764045,0.8536672629695885,0.9066655238773517,0.9177703679593927,0.11787519772613192,1305,178,231,1193,feature_ablation,NO_SOC,default,0,ExtraTrees,ok,6781,2907,0.48985208118335055,31
0.8386652906776746,0.8384339535149941,0.8477785870356883,0.8174157303370787,0.8323203432248838,0.8866775231651601,0.8954112630123101,0.13294079704170453,1274,209,260,1164,feature_ablation,NO_GRAPH,default,0,ExtraTrees,ok,6781,2907,0.48985208118335055,26
0.8524251805985552,0.8522287035840053,0.8612926652142339,0.8328651685393258,0.846840414137808,0.9019285516755438,0.9120180504730503,0.12666526962756922,1292,191,238,1186,feature_ablation,NO_TARGET_PROGRESS,default,0,ExtraTrees,ok,6781,2907,0.48985208118335055,36
0.4527003783969728,0.41921655765814925,0.46171480972031176,0.7071629213483146,0.5586685159500694,0.43472344814262015,0.4435292746699056,0.3562365408096501,309,1174,417,1007,feature_ablation,ONLY_SOC,default,0,ExtraTrees,ok,6781,2907,0.48985208118335055,8
0.7671138630890952,0.7662570743543129,0.7857689364957919,0.7212078651685393,0.7521054558769682,0.8223634240493383,0.8204224254301025,0.16684996063628493,1203,280,397,1027,feature_ablation,ONLY_MOTION,default,0,ExtraTrees,ok,6781,2907,0.48985208118335055,9
0.7100103199174407,0.704583605421454,0.7667584940312213,0.586376404494382,0.6645443692797454,0.7678526104843658,0.7798477209480834,0.19761415860433873,1229,254,589,835,feature_ablation,SOC_MOTION,default,0,ExtraTrees,ok,6781,2907,0.48985208118335055,17
0.8376332989336085,0.8374211931716389,0.8454281567489115,0.8181179775280899,0.8315488936473947,0.8936071829043769,0.8933687680615802,0.12953550678432504,1270,213,259,1165,feature_ablation,MOTION_GRAPH,default,0,ExtraTrees,ok,6781,2907,0.48985208118335055,22
0.7478500171998624,0.7439669762096297,0.8071111111111111,0.6376404494382022,0.7124362495096116,0.8484199674967989,0.844014254704187,0.16489633967244005,1266,217,516,908,feature_ablation,SOC_MOTION_GRAPH,default,0,ExtraTrees,ok,6781,2907,0.48985208118335055,30
0.7566265060240964,0.75621051382109,0.7765321375186846,0.7180373185901866,0.7461400359066427,0.8115888034749537,0.8160151457004919,0.17814022957883674,1159,299,408,1039,feature_ablation,FULL,default,5,ExtraTrees,ok,6778,2905,0.49810671256454386,39
0.7783132530120482,0.7779773128184095,0.7985130111524164,0.7422252937111264,0.7693409742120344,0.8257434851729561,0.819318427967977,0.1725647514035122,1187,271,373,1074,feature_ablation,NO_SOC,default,5,ExtraTrees,ok,6778,2905,0.49810671256454386,31
0.770051635111876,0.7700437601081489,0.7640677966101694,0.778852798894264,0.7713894592744696,0.8148340116204663,0.821995182717492,0.1768250676410705,1110,348,320,1127,feature_ablation,NO_GRAPH,default,5,ExtraTrees,ok,6778,2905,0.49810671256454386,26
0.7631669535283994,0.7629026043416449,0.7788390889052168,0.7325501036627505,0.7549857549857549,0.8032448289493516,0.7920222931407443,0.1829788204269192,1157,301,387,1060,feature_ablation,NO_TARGET_PROGRESS,default,5,ExtraTrees,ok,6778,2905,0.49810671256454386,36
0.4657487091222031,0.44699244431361007,0.47365780230807825,0.6523842432619212,0.5488372093023256,0.481696201307658,0.49084755818946646,0.3149299586460681,409,1049,503,944,feature_ablation,ONLY_SOC,default,5,ExtraTrees,ok,6778,2905,0.49810671256454386,8
0.6843373493975904,0.6843120615181951,0.6850558659217877,0.677954388389772,0.6814866273011463,0.7312312120152096,0.7276161299426416,0.2141115012069274,1007,451,466,981,feature_ablation,ONLY_MOTION,default,5,ExtraTrees,ok,6778,2905,0.49810671256454386,9
0.6327022375215147,0.6293074612093343,0.6610169491525424,0.5390463026952315,0.5938332698896079,0.6503195201651778,0.6702556025261335,0.2501192218325424,1058,400,667,780,feature_ablation,SOC_MOTION,default,5,ExtraTrees,ok,6778,2905,0.49810671256454386,17
0.7418244406196214,0.7414049718610629,0.7598806860551827,0.7042156185210781,0.7309899569583931,0.8087251614664653,0.8042859301506289,0.18047930662277467,1136,322,428,1019,feature_ablation,MOTION_GRAPH,default,5,ExtraTrees,ok,6778,2905,0.49810671256454386,22
0.7232358003442341,0.7229518588494748,0.7355311355311356,0.6938493434692468,0.7140825035561877,0.7696388061767263,0.7588918994453383,0.19748612779600688,1097,361,443,1004,feature_ablation,SOC_MOTION_GRAPH,default,5,ExtraTrees,ok,6778,2905,0.49810671256454386,30
0.7103994490358126,0.7097907237419594,0.7343987823439878,0.6623198352779684,0.6964994586791772,0.7695693975987049,0.7824481277881975,0.19563328309776448,1098,349,492,965,feature_ablation,FULL,default,10,ExtraTrees,ok,6774,2904,0.5017217630853994,39
0.731404958677686,0.7313188095811974,0.7426523297491039,0.7110501029512697,0.726507713884993,0.7914187353761054,0.7927706794838644,0.18732113409129691,1088,359,421,1036,feature_ablation,NO_SOC,default,10,ExtraTrees,ok,6774,2904,0.5017217630853994,31
0.7207300275482094,0.7204905630684866,0.7108355091383812,0.7474262182566919,0.7286717965874875,0.763349632567606,0.7608440212834351,0.20140824013639078,1004,443,368,1089,feature_ablation,NO_GRAPH,default,10,ExtraTrees,ok,6774,2904,0.5017217630853994,26
0.6862947658402204,0.6853033082036155,0.7126168224299065,0.6280027453671929,0.6676395476103612,0.7495744159098487,0.7515479142212398,0.20614931272022488,1078,369,542,915,feature_ablation,NO_TARGET_PROGRESS,default,10,ExtraTrees,ok,6774,2904,0.5017217630853994,36
0.4369834710743802,0.3575721084730627,0.4639384116693679,0.7858613589567605,0.5834394904458599,0.4596450469790762,0.48986638295112456,0.33829070494823704,124,1323,312,1145,feature_ablation,ONLY_SOC,default,10,ExtraTrees,ok,6774,2904,0.5017217630853994,8
0.6504820936639119,0.6504369538077404,0.6493243243243243,0.6595744680851063,0.6544092611508342,0.6841321760544975,0.6750826901219231,0.23364543470258708,928,519,496,961,feature_ablation,ONLY_MOTION,default,10,ExtraTrees,ok,6774,2904,0.5017217630853994,9
0.5833333333333334,0.5832542658489192,0.5830531271015468,0.5950583390528483,0.5889945652173914,0.5967827313178189,0.6200494743730278,0.2681749276186848,827,620,590,867,feature_ablation,SOC_MOTION,default,10,ExtraTrees,ok,6774,2904,0.5017217630853994,17
0.6394628099173554,0.6363424554067736,0.6740237691001698,0.544955387783116,0.6026565464895636,0.7294549250834448,0.7266701043710209,0.22001340185893278,1063,384,663,794,feature_ablation,MOTION_GRAPH,default,10,ExtraTrees,ok,6774,2904,0.5017217630853994,22
0.6446280991735537,0.6422654914580925,0.6754748142031379,0.5614275909402883,0.6131934032983508,0.7061823885738083,0.7119675269308654,0.22754023826409547,1054,393,639,818,feature_ablation,SOC_MOTION_GRAPH,default,10,ExtraTrees,ok,6774,2904,0.5017217630853994,30
0.6549465701482248,0.6549332854216107,0.6546075085324232,0.6595598349381018,0.657074340527578,0.6804240429138121,0.6787039113000398,0.23696166319278447,941,506,495,959,feature_ablation,FULL,default,20,ExtraTrees,ok,6767,2901,0.5012064805239572,39
0.651844191658049,0.6514704328984143,0.6642011834319527,0.6176066024759285,0.6400570206699929,0.6979050713471595,0.6932417083416809,0.23138110634987383,993,454,556,898,feature_ablation,NO_SOC,default,20,ExtraTrees,ok,6767,2901,0.5012064805239572,31
0.6577042399172699,0.6576181542332522,0.6543871399866041,0.671939477303989,0.663047166610112,0.6760788578370656,0.6583306434707268,0.2365898695695019,931,516,477,977,feature_ablation,NO_GRAPH,default,20,ExtraTrees,ok,6767,2901,0.5012064805239572,26
0.5911754567390555,0.5900351175207259,0.6035548686244204,0.5371389270976616,0.5684133915574964,0.6426648503900781,0.6223144863483931,0.2470943602361561,934,513,673,781,feature_ablation,NO_TARGET_PROGRESS,default,20,ExtraTrees,ok,6767,2901,0.5012064805239572,36
0.4960358497069976,0.3438836593962556,0.49859353023909986,0.9752407152682255,0.6598417868776175,0.5984213888432074,0.5880607281501004,0.29976113917797714,21,1426,36,1418,feature_ablation,ONLY_SOC,default,20,ExtraTrees,ok,6767,2901,0.5012064805239572,8
0.5901413305756635,0.5880234390125717,0.5800604229607251,0.6602475928473177,0.6175619170151174,0.6156711842269116,0.6014260890415384,0.25473337340432234,752,695,494,960,feature_ablation,ONLY_MOTION,default,20,ExtraTrees,ok,6767,2901,0.5012064805239572,9
0.5698035160289555,0.5691498021190446,0.566025641025641,0.6072902338376891,0.5859323158593231,0.6260498170573467,0.661452391954042,0.25003134406233435,770,677,571,883,feature_ablation,SOC_MOTION,default,20,ExtraTrees,ok,6767,2901,0.5012064805239572,17
0.6356428817649087,0.635642189053071,0.6375606375606375,0.6327372764786795,0.6351397997928891,0.6702766431330202,0.6513209303037664,0.24029048630254252,924,523,534,920,feature_ablation,MOTION_GRAPH,default,20,ExtraTrees,ok,6767,2901,0.5012064805239572,22
0.6087556015167184,0.6087241722493724,0.6122448979591837,0.5983493810178817,0.6052173913043478,0.6488665540524483,0.6434054001443716,0.24870889956123646,896,551,584,870,feature_ablation,SOC_MOTION_GRAPH,default,20,ExtraTrees,ok,6767,2901,0.5012064805239572,30
0.8304093567251462,0.83026763606441,0.8596008258774949,0.8120936280884266,0.8351721832163156,0.8896249956067901,0.9080568695746554,0.1339049840513468,1165,204,289,1249,label_sensitivity,FULL,loose,0,ExtraTrees,ok,6781,2907,0.5290677674578603,39
0.8297213622291022,0.8293140904704771,0.8463832960477256,0.7970505617977528,0.8209764918625678,0.8881206103631419,0.8984709713786824,0.13205512039889125,1277,206,289,1135,label_sensitivity,FULL,default,0,ExtraTrees,ok,6781,2907,0.48985208118335055,39
0.8386652906776746,0.8370884277690145,0.8539682539682539,0.7905951506245408,0.8210606638687524,0.8979775733732046,0.8905175032086198,0.12920710848010233,1362,184,285,1076,label_sensitivity,FULL,strict,0,ExtraTrees,ok,6781,2907,0.4681802545579635,39
0.7301204819277108,0.7300613380590852,0.7767408470926059,0.6958199356913183,0.7340569877883311,0.7828376801238537,0.8053599331436311,0.19428248984460011,1039,311,473,1082,label_sensitivity,FULL,loose,5,ExtraTrees,ok,6778,2905,0.5352839931153184,39
0.7566265060240964,0.75621051382109,0.7765321375186846,0.7180373185901866,0.7461400359066427,0.811585959503746,0.8160128775320554,0.17814022957883674,1159,299,408,1039,label_sensitivity,FULL,default,5,ExtraTrees,ok,6778,2905,0.49810671256454386,39
0.7228915662650602,0.7181701708520087,0.7568042142230026,0.6201438848920864,0.6816923685251087,0.8068848683429495,0.791166590497618,0.18180422960161158,1238,277,528,862,label_sensitivity,FULL,strict,5,ExtraTrees,ok,6778,2905,0.4784853700516351,39
0.7042011019283747,0.7030217767791739,0.7324128862590401,0.7113665389527458,0.7217363135730482,0.7515914128137724,0.7711492030345464,0.20630436907794356,931,407,452,1114,label_sensitivity,FULL,loose,10,ExtraTrees,ok,6774,2904,0.5392561983471075,39
0.7103994490358126,0.7097907237419594,0.7343987823439878,0.6623198352779684,0.6964994586791772,0.7695708205602768,0.7824521669824862,0.19563328309776448,1098,349,492,965,label_sensitivity,FULL,default,10,ExtraTrees,ok,6774,2904,0.5017217630853994,39
