horizon_s,feature_set,positive_event_folds,pr_auc_mean,pr_auc_sd,macro_f1_mean,recall_mean,f1_positive_mean,brier_mean
5,euclidean_no_soc_motion_reduced,3,0.5380893445278885,0.1612070605478077,0.5654397992082176,0.14651501895596383,0.14511556633890949,0.020207771709709124
5,full_graph_no_soc_motion_reduced,3,0.5932710826505807,0.29132799646405944,0.5946883250566898,0.1726450860309128,0.2,0.01879461045082919
10,euclidean_no_soc_motion_reduced,3,0.6339202881557037,0.12814576428479482,0.545826778391548,0.1599007314524556,0.12564442324340558,0.042742760759168566
10,full_graph_no_soc_motion_reduced,3,0.6611124573024972,0.17267040106820333,0.5658181277131653,0.1581765935214211,0.15700502246894,0.042320376817623184
