horizon_s,variant,feature_set,test_session,model,p50_ms_row,p95_ms_row,p99_ms_row
5,all_sessions,full_graph_no_soc,S1_LOW_SOC_STRESS,HistGradientBoosting,0.0118525,0.02250883719999999,0.02491308964
5,all_sessions,full_graph_no_soc,S2_HIGH_SOC_CONTROL,LogisticRegression,0.0038102932816537465,0.004189616020671834,0.004865060439276487
5,all_sessions,full_graph_no_soc,S2_HIGH_SOC_CONTROL,ExtraTrees,0.08088043669250647,0.1006274596899224,0.11428484578811371
5,all_sessions,full_graph_no_soc,S2_HIGH_SOC_CONTROL,RandomForest,0.08102573126614987,0.08612417002583979,0.11088769452196386
5,all_sessions,full_graph_no_soc,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.013058032299741604,0.015327540439276486,0.02390393493540053
5,all_sessions,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,0.003063542,0.0034394799,0.0040672912200000015
5,all_sessions,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,0.063379499,0.06672885699999999,0.07270271342000001
5,all_sessions,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,0.063034625,0.06535145789999999,0.06758245378
5,all_sessions,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.013825792,0.024863213099999993,0.02690646428
5,all_sessions,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.002950083,0.0031020791,0.0034123174200000007
5,all_sessions,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.063714625,0.08390498399999995,0.13971879436000006
5,all_sessions,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.062941458,0.07790104269999995,0.08888842336000001
5,all_sessions,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.010127834,0.012708249399999998,0.01310514786
5,all_sessions,full_graph_no_soc,S5_REAL_TMS_JULY10,LogisticRegression,0.0030235410000000002,0.0033002458999999993,0.0037318536400000003
5,all_sessions,full_graph_no_soc,S5_REAL_TMS_JULY10,ExtraTrees,0.064092875,0.07811095839999993,0.08965988936
5,all_sessions,full_graph_no_soc,S5_REAL_TMS_JULY10,RandomForest,0.062523209,0.06652634269999999,0.06906295086
5,all_sessions,full_graph_no_soc,S5_REAL_TMS_JULY10,HistGradientBoosting,0.011803874,0.02700555699999995,0.03943976664
5,all_sessions,no_graph,S1_LOW_SOC_STRESS,LogisticRegression,0.002966417,0.0032205712000000003,0.00335768936
5,all_sessions,no_graph,S1_LOW_SOC_STRESS,ExtraTrees,0.064525333,0.0669551285,0.08137441136000002
5,all_sessions,no_graph,S1_LOW_SOC_STRESS,RandomForest,0.06264125000000001,0.06826797559999999,0.08703929464000001
5,all_sessions,no_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,0.011317042,0.013069575,0.013206892139999999
5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,0.0037724483204134365,0.004178595478036175,0.004721047700258398
5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,0.08572442894056848,0.10527960193798444,0.12397562245478037
5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,RandomForest,0.08390972222222222,0.08655558746770026,0.11603723514211889
5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.013036498708010337,0.018270762015503872,0.022913280077519384
5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,0.0031327489999999998,0.0034899465,0.0040724572200000015
5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,0.065347834,0.07675862939999999,0.15056651028000012
5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,0.064841083,0.0749076462,0.08697195114000002
5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.010838,0.0122709381,0.01308049964
5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.003031249,0.0033035215,0.00342241686
