alert_episodes,false_alert_episodes,false_alerts_per_hour,events,warned_events,event_recall,median_lead_s,pct_events_lead_ge_2s,pct_events_lead_ge_5s,horizon_s,variant,feature_set,test_session,model,threshold
6,4,12.424503882657465,10,2,0.2,4.0,1.0,0.5,5,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.26
15,7,9.045226130653267,32,13,0.40625,4.0,0.8461538461538461,0.46153846153846156,5,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.16000000000000003
21,5,6.460875807609476,32,19,0.59375,4.0,0.8947368421052632,0.3684210526315789,5,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.22000000000000003
14,1,1.2921751615218953,32,13,0.40625,3.0,0.7692307692307693,0.15384615384615385,5,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.36000000000000004
21,6,7.753050969131372,32,17,0.53125,3.0,0.7647058823529411,0.17647058823529413,5,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.2
0,0,0.0,0,0,,,,,5,all_sessions,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.1
0,0,0.0,0,0,,,,,5,all_sessions,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.28
0,0,0.0,0,0,,,,,5,all_sessions,full_graph,S5_REAL_TMS_JULY10,RandomForest,0.28
0,0,0.0,0,0,,,,,5,all_sessions,full_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,0.26
26,8,13.40782122905028,25,16,0.64,2.5,0.625,0.0625,5,all_sessions,full_graph_no_soc,S1_LOW_SOC_STRESS,LogisticRegression,0.30000000000000004
0,0,0.0,25,0,0.0,,,,5,all_sessions,full_graph_no_soc,S1_LOW_SOC_STRESS,ExtraTrees,0.30000000000000004
29,8,13.40782122905028,25,20,0.8,2.0,0.6,0.1,5,all_sessions,full_graph_no_soc,S1_LOW_SOC_STRESS,RandomForest,0.24000000000000005
34,11,18.435754189944134,25,22,0.88,2.5,0.6363636363636364,0.09090909090909091,5,all_sessions,full_graph_no_soc,S1_LOW_SOC_STRESS,HistGradientBoosting,0.2
0,0,0.0,0,0,,,,,5,all_sessions,full_graph_no_soc,S2_HIGH_SOC_CONTROL,LogisticRegression,0.1
