alert_episodes,false_alert_episodes,false_alerts_per_hour,events,warned_events,event_recall,median_lead_s,pct_events_lead_ge_2s,pct_events_lead_ge_5s,horizon_s,variant,feature_set,test_session,model,threshold
60,28,84.7771236333053,25,25,1.0,6.0,0.8,0.6,20,all_sessions,full_graph,S1_LOW_SOC_STRESS,LogisticRegression,0.24000000000000005
40,9,27.249789739276704,25,25,1.0,6.0,0.8,0.68,20,all_sessions,full_graph,S1_LOW_SOC_STRESS,ExtraTrees,0.32000000000000006
37,7,21.194280908326323,25,25,1.0,6.0,0.8,0.64,20,all_sessions,full_graph,S1_LOW_SOC_STRESS,RandomForest,0.32000000000000006
38,8,24.222035323801514,25,25,1.0,4.0,0.8,0.48,20,all_sessions,full_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,0.28
5,5,193.5483870967742,0,0,,,,,20,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,0.26
0,0,0.0,0,0,,,,,20,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,0.4000000000000001
0,0,0.0,0,0,,,,,20,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,RandomForest,0.44000000000000006
0,0,0.0,0,0,,,,,20,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.4600000000000001
22,17,72.51184834123222,10,6,0.6,1.0,0.3333333333333333,0.16666666666666666,20,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,0.28
31,22,93.8388625592417,10,10,1.0,1.0,0.3,0.2,20,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,0.22000000000000003
11,10,42.654028436018955,10,2,0.2,12.5,1.0,1.0,20,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,0.38000000000000006
17,11,46.91943127962085,10,7,0.7,1.0,0.42857142857142855,0.2857142857142857,20,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.36000000000000004
39,16,26.790697674418606,32,24,0.75,3.0,0.625,0.375,20,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.1
21,7,11.720930232558139,32,16,0.5,6.5,0.875,0.75,20,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.24000000000000005
19,5,8.372093023255815,32,17,0.53125,4.0,0.8823529411764706,0.47058823529411764,20,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.26
14,2,3.3488372093023258,32,13,0.40625,8.0,0.8461538461538461,0.7692307692307693,20,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.28
15,15,146.7391304347826,0,0,,,,,20,all_sessions,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.28
13,13,127.17391304347825,0,0,,,,,20,all_sessions,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.36000000000000004
0,0,0.0,0,0,,,,,20,all_sessions,full_graph,S5_REAL_TMS_JULY10,RandomForest,0.5200000000000001
0,0,0.0,0,0,,,,,20,all_sessions,full_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,0.26
0,0,0.0,25,0,0.0,,,,20,all_sessions,engineering_baseline,S1_LOW_SOC_STRESS,AlwaysNegative,0.5
0,0,0.0,25,0,0.0,,,,20,all_sessions,engineering_baseline,S1_LOW_SOC_STRESS,PersistenceH0,0.5
0,0,0.0,0,0,,,,,20,all_sessions,engineering_baseline,S2_HIGH_SOC_CONTROL,AlwaysNegative,0.5
0,0,0.0,0,0,,,,,20,all_sessions,engineering_baseline,S2_HIGH_SOC_CONTROL,PersistenceH0,0.5
0,0,0.0,10,0,0.0,,,,20,all_sessions,engineering_baseline,S3_MEDIUM_SOC_WHOLETESTING,AlwaysNegative,0.5
0,0,0.0,10,0,0.0,,,,20,all_sessions,engineering_baseline,S3_MEDIUM_SOC_WHOLETESTING,PersistenceH0,0.5
0,0,0.0,32,0,0.0,,,,20,all_sessions,engineering_baseline,S4_SAFETY_RICH_NAVEEN12,AlwaysNegative,0.5
0,0,0.0,32,0,0.0,,,,20,all_sessions,engineering_baseline,S4_SAFETY_RICH_NAVEEN12,PersistenceH0,0.5
0,0,0.0,0,0,,,,,20,all_sessions,engineering_baseline,S5_REAL_TMS_JULY10,AlwaysNegative,0.5
0,0,0.0,0,0,,,,,20,all_sessions,engineering_baseline,S5_REAL_TMS_JULY10,PersistenceH0,0.5
