session,aligned_rows,eligible_h5,positive_h5,event_onsets
S1_LOW_SOC_STRESS,8027,2148,105,25
S2_HIGH_SOC_CONTROL,1679,387,0,0
S3_MEDIUM_SOC_WHOLETESTING,2288,1159,27,10
S4_SAFETY_RICH_NAVEEN12,4249,2786,127,32
S5_REAL_TMS_JULY10,2291,724,0,0
