n,positive_rate,accuracy,macro_f1,precision,recall,degradation_f1,brier,roc_auc,pr_auc,model,threshold
3494,0.2987979393245564,0.8858042358328563,0.8715205711351898,0.7509727626459144,0.9243295019157088,0.8286818376985831,0.09113170070365303,0.9152042771131441,0.8021396464728985,extra_trees,0.3
3494,0.2987979393245564,0.8978248425872924,0.8837700365763057,0.7781376518218623,0.9204980842911877,0.8433523475208424,0.09113170070365303,0.9152042771131441,0.8021396464728985,extra_trees,0.35
3494,0.2987979393245564,0.9001144819690898,0.885372917365222,0.7903091060985797,0.9061302681992337,0.8442659526996876,0.09113170070365303,0.9152042771131441,0.8021396464728985,extra_trees,0.39999999999999997
3494,0.2987979393245564,0.906983400114482,0.8919039684965584,0.8139737991266376,0.89272030651341,0.8515303791685701,0.09113170070365303,0.9152042771131441,0.8021396464728985,extra_trees,0.44999999999999996
3494,0.2987979393245564,0.9001144819690898,0.8819991532701915,0.8214616096207216,0.8505747126436781,0.835764705882353,0.09113170070365303,0.9152042771131441,0.8021396464728985,extra_trees,0.49999999999999994
3494,0.2987979393245564,0.8883800801373783,0.8647676618995049,0.8303030303030303,0.7873563218390804,0.8082595870206489,0.09113170070365303,0.9152042771131441,0.8021396464728985,extra_trees,0.5499999999999999
3494,0.2987979393245564,0.8703491700057241,0.838633816020272,0.827968923418424,0.7145593869731801,0.7670951156812339,0.09113170070365303,0.9152042771131441,0.8021396464728985,extra_trees,0.5999999999999999
3494,0.2987979393245564,0.8133943903835146,0.743066561461112,0.815112540192926,0.48563218390804597,0.6086434573829532,0.09113170070365303,0.9152042771131441,0.8021396464728985,extra_trees,0.6499999999999999
3494,0.2987979393245564,0.7959358900973097,0.7083155217929539,0.8093457943925234,0.41475095785440613,0.5484483850538315,0.09113170070365303,0.9152042771131441,0.8021396464728985,extra_trees,0.7
3494,0.2987979393245564,0.8279908414424728,0.779614278231288,0.7724477244772447,0.6015325670498084,0.6763597199784599,0.1330739716942074,0.8974759558996012,0.8005507185311089,logistic,0.3
3494,0.2987979393245564,0.8225529479107041,0.7676869674434885,0.7819148936170213,0.5632183908045977,0.6547884187082406,0.1330739716942074,0.8974759558996012,0.8005507185311089,logistic,0.35
3494,0.2987979393245564,0.818259874069834,0.7580487300581779,0.7892503536067893,0.5344827586206896,0.6373500856653341,0.1330739716942074,0.8974759558996012,0.8005507185311089,logistic,0.39999999999999997
3494,0.2987979393245564,0.8202633085289067,0.757265447414033,0.8104477611940298,0.5201149425287356,0.6336056009334889,0.1330739716942074,0.8974759558996012,0.8005507185311089,logistic,0.44999999999999996
3494,0.2987979393245564,0.8225529479107041,0.7564783451121426,0.8365079365079365,0.5047892720306514,0.6296296296296297,0.1330739716942074,0.8974759558996012,0.8005507185311089,logistic,0.49999999999999994
3494,0.2987979393245564,0.8105323411562679,0.7326300652869482,0.8386524822695035,0.45306513409961685,0.5883084577114428,0.1330739716942074,0.8974759558996012,0.8005507185311089,logistic,0.5499999999999999
3494,0.2987979393245564,0.8091013165426445,0.7238928008880933,0.8703339882121808,0.42432950191570884,0.5705086928525435,0.1330739716942074,0.8974759558996012,0.8005507185311089,logistic,0.5999999999999999
3494,0.2987979393245564,0.8010875787063537,0.7007790147922983,0.9086651053864169,0.3716475095785441,0.5275322909585316,0.1330739716942074,0.8974759558996012,0.8005507185311089,logistic,0.6499999999999999
3494,0.2987979393245564,0.7707498568975386,0.6274441913876286,0.9293286219081273,0.25191570881226055,0.39638281838733985,0.1330739716942074,0.8974759558996012,0.8005507185311089,logistic,0.7
3494,0.2987979393245564,0.8969662278191185,0.8801734409991567,0.7994746059544658,0.8745210727969349,0.8353156450137237,0.09212626383865699,0.9214164516381266,0.8178260537105899,random_forest,0.3
3494,0.2987979393245564,0.8935317687464225,0.8739209587752708,0.8134328358208955,0.8352490421455939,0.8241965973534972,0.09212626383865699,0.9214164516381266,0.8178260537105899,random_forest,0.35
3494,0.2987979393245564,0.8849456210646823,0.8606066668810282,0.8242424242424242,0.7816091954022989,0.8023598820058997,0.09212626383865699,0.9214164516381266,0.8178260537105899,random_forest,0.39999999999999997
3494,0.2987979393245564,0.882655981682885,0.8572507613080149,0.8247950819672131,0.7710727969348659,0.7970297029702971,0.09212626383865699,0.9214164516381266,0.8178260537105899,random_forest,0.44999999999999996
3494,0.2987979393245564,0.8803663423010876,0.8534235939828374,0.8287815126050421,0.7557471264367817,0.7905811623246493,0.09212626383865699,0.9214164516381266,0.8178260537105899,random_forest,0.49999999999999994
3494,0.2987979393245564,0.8812249570692616,0.8536340940169361,0.8370846730975349,0.7480842911877394,0.7900859888720283,0.09212626383865699,0.9214164516381266,0.8178260537105899,random_forest,0.5499999999999999
3494,0.2987979393245564,0.8672009158557528,0.8330645835572914,0.8333333333333334,0.6944444444444444,0.7575757575757576,0.09212626383865699,0.9214164516381266,0.8178260537105899,random_forest,0.5999999999999999
3494,0.2987979393245564,0.8503148254149971,0.8035308204667213,0.8496644295302014,0.6063218390804598,0.7076579094466182,0.09212626383865699,0.9214164516381266,0.8178260537105899,random_forest,0.6499999999999999
3494,0.2987979393245564,0.8322839152833429,0.7726012268412392,0.8469696969696969,0.5354406130268199,0.6561032863849765,0.09212626383865699,0.9214164516381266,0.8178260537105899,random_forest,0.7
