n,positive_rate,accuracy,macro_f1,precision,recall,degradation_f1,brier,roc_auc,pr_auc,horizon_s,model,fold,protocol,feature_set
706,0.1048158640226629,0.9844192634560907,0.9577280026127426,0.9436619718309859,0.9054054054054054,0.9241379310344827,0.016245069290022604,0.9895441327403354,0.9519024618147179,5,logistic,2,grouped_low_soc_cv,full
697,0.23385939741750358,0.8780487804878049,0.8095536589678063,0.8362068965517241,0.5950920245398773,0.6953405017921147,0.08962795472553728,0.9298844236115897,0.7944122540647195,5,logistic,3,grouped_low_soc_cv,full
697,0.46771879483500717,0.7130559540889526,0.7000757341044441,0.7787610619469026,0.5398773006134969,0.6376811594202898,0.20692623491802117,0.8230367271344236,0.7973064831530154,5,logistic,4,grouped_low_soc_cv,full
698,0.4383954154727794,0.7965616045845272,0.7817212825933756,0.8904761904761904,0.6111111111111112,0.7248062015503876,0.15693160545640605,0.9165666266506602,0.8731948077874178,5,logistic,5,grouped_low_soc_cv,full
379,0.0158311345646438,0.9841688654353562,0.49601063829787234,0.0,0.0,0.0,0.015314556911194946,0.8672922252010724,0.07369099919842151,5,logistic,0,untouched_high_soc_control,full
696,0.2514367816091954,0.8936781609195402,0.8548430735930737,0.8136645962732919,0.7485714285714286,0.7797619047619048,0.09547305417704587,0.9035810255004114,0.7977995724671161,5,extra_trees,1,grouped_low_soc_cv,full
706,0.1048158640226629,0.9702549575070821,0.9294225175777252,0.7789473684210526,1.0,0.8757396449704142,0.0390015947309653,0.9889454327745468,0.8923761842602591,5,extra_trees,2,grouped_low_soc_cv,full
697,0.23385939741750358,0.9253945480631277,0.89720463776008,0.8284023668639053,0.8588957055214724,0.8433734939759037,0.07644869374431978,0.9149491050297558,0.8380721517936723,5,extra_trees,3,grouped_low_soc_cv,full
697,0.46771879483500717,0.8436154949784792,0.8433252424681744,0.8181818181818182,0.8558282208588958,0.8365817091454273,0.1359379134255868,0.8700577117060505,0.7951728436243363,5,extra_trees,4,grouped_low_soc_cv,full
698,0.4383954154727794,0.8667621776504298,0.86512077294686,0.8380952380952381,0.8627450980392157,0.8502415458937198,0.10945032302844326,0.9046827064158998,0.8385665316754662,5,extra_trees,5,grouped_low_soc_cv,full
379,0.0158311345646438,0.9841688654353562,0.49601063829787234,0.0,0.0,0.0,0.031849938600790564,0.9084003574620196,0.13014256335194552,5,extra_trees,0,untouched_high_soc_control,full
696,0.2514367816091954,0.8117816091954023,0.6776125735905096,0.8055555555555556,0.3314285714285714,0.46963562753036436,0.11485297183896193,0.9018590622429394,0.792226741568018,5,random_forest,1,grouped_low_soc_cv,full
706,0.1048158640226629,0.9645892351274787,0.9142183665038517,0.7692307692307693,0.9459459459459459,0.8484848484848485,0.03656033531057534,0.9855242901128977,0.8481219742153997,5,random_forest,2,grouped_low_soc_cv,full
697,0.23385939741750358,0.9153515064562411,0.8826348159881273,0.8132530120481928,0.8282208588957055,0.8206686930091185,0.07276047907446655,0.919332046598194,0.8490081119731616,5,random_forest,3,grouped_low_soc_cv,full
697,0.46771879483500717,0.8034433285509326,0.8008193421483535,0.8247422680412371,0.7361963190184049,0.7779578606158833,0.1412162267531871,0.8869578158847752,0.837109053126727,5,random_forest,4,grouped_low_soc_cv,full
698,0.4383954154727794,0.9054441260744985,0.9047402420161951,0.8614457831325302,0.934640522875817,0.896551724137931,0.09598586928540004,0.9146283513405361,0.8420243676670085,5,random_forest,5,grouped_low_soc_cv,full
379,0.0158311345646438,0.9841688654353562,0.49601063829787234,0.0,0.0,0.0,0.023376639916920437,0.9369973190348526,0.18851078167115903,5,random_forest,0,untouched_high_soc_control,full
681,0.29809104258443464,0.7033773861967695,0.5435172157476971,0.5066666666666667,0.18719211822660098,0.2733812949640288,0.24376975597273753,0.7483407877651133,0.45529698738539115,10,logistic,1,grouped_low_soc_cv,full
684,0.10818713450292397,0.9839181286549707,0.9590568491622544,0.9090909090909091,0.9459459459459459,0.9271523178807947,0.01951938866856632,0.9907842268498006,0.9742328978780742,10,logistic,2,grouped_low_soc_cv,full
682,0.18914956011730205,0.8651026392961877,0.748851209632227,0.7078651685393258,0.4883720930232558,0.5779816513761468,0.11175876983662851,0.8201774675133522,0.599144966299377,10,logistic,3,grouped_low_soc_cv,full
679,0.48600883652430044,0.7628865979381443,0.7623587823928246,0.7665615141955836,0.7363636363636363,0.7511591962905718,0.16360211226936228,0.8428062863592948,0.7836937920769855,10,logistic,4,grouped_low_soc_cv,full
680,0.45441176470588235,0.6867647058823529,0.6482545079230162,0.8287671232876712,0.39158576051779936,0.5318681318681319,0.2218035536152715,0.8473905041041879,0.811704180692821,10,logistic,5,grouped_low_soc_cv,full
372,0.02956989247311828,0.9704301075268817,0.4924965893587995,0.0,0.0,0.0,0.028482062740279535,0.7537144296147067,0.08527887513696317,10,logistic,0,untouched_high_soc_control,full
681,0.29809104258443464,0.8252569750367107,0.7852275889485192,0.7282608695652174,0.6600985221674877,0.6925064599483204,0.1447939698714511,0.8236906651276873,0.6161900522885653,10,extra_trees,1,grouped_low_soc_cv,full
684,0.10818713450292397,0.935672514619883,0.8605711320719752,0.6388888888888888,0.9324324324324325,0.7582417582417582,0.06566794429495025,0.9858661940629154,0.9417034857186429,10,extra_trees,2,grouped_low_soc_cv,full
682,0.18914956011730205,0.9017595307917888,0.8364350325562082,0.7540983606557377,0.7131782945736435,0.7330677290836654,0.08728692527566344,0.9020634453369221,0.7784137588915825,10,extra_trees,3,grouped_low_soc_cv,full
679,0.48600883652430044,0.8055964653902798,0.8047388326332852,0.8256578947368421,0.7606060606060606,0.7917981072555205,0.1480990651123316,0.8771381436137883,0.8551515504890744,10,extra_trees,4,grouped_low_soc_cv,full
680,0.45441176470588235,0.7794117647058824,0.7747329923409217,0.7912087912087912,0.6990291262135923,0.7422680412371134,0.1680631913303336,0.8338828845331867,0.7564498441163803,10,extra_trees,5,grouped_low_soc_cv,full
372,0.02956989247311828,0.9704301075268817,0.4924965893587995,0.0,0.0,0.0,0.046811832625843174,0.9063208259884159,0.19758657098223947,10,extra_trees,0,untouched_high_soc_control,full
681,0.29809104258443464,0.7709251101321586,0.6771648757718676,0.7117117117117117,0.3891625615763547,0.5031847133757962,0.14844143062978557,0.825566296349733,0.6877455961326333,10,random_forest,1,grouped_low_soc_cv,full
684,0.10818713450292397,0.945906432748538,0.8787785893904922,0.6831683168316832,0.9324324324324325,0.7885714285714286,0.058437543281831504,0.973859105006646,0.808071970498091,10,random_forest,2,grouped_low_soc_cv,full
682,0.18914956011730205,0.8900293255131965,0.8122267375909957,0.7368421052631579,0.6511627906976745,0.691358024691358,0.08233515464013119,0.9212820836312151,0.7709904026882062,10,random_forest,3,grouped_low_soc_cv,full
679,0.48600883652430044,0.7997054491899853,0.797852964869882,0.8415492957746479,0.7242424242424242,0.7785016286644951,0.1502692432850074,0.883346357558392,0.8719956149598853,10,random_forest,4,grouped_low_soc_cv,full
680,0.45441176470588235,0.8205882352941176,0.8201900402274934,0.775811209439528,0.8511326860841424,0.8117283950617284,0.14958740455617217,0.84815376965954,0.7915396287653078,10,random_forest,5,grouped_low_soc_cv,full
372,0.02956989247311828,0.9704301075268817,0.4924965893587995,0.0,0.0,0.0,0.033309495656469505,0.9385545202719717,0.4582007383977167,10,random_forest,0,untouched_high_soc_control,full
652,0.3328220858895706,0.6503067484662577,0.44590887404580154,0.358974358974359,0.06451612903225806,0.109375,0.29918946404443586,0.6003495947878595,0.39076331276132853,20,logistic,1,grouped_low_soc_cv,full
643,0.18662519440124417,0.9191290824261276,0.8659471422156648,0.788135593220339,0.775,0.7815126050420168,0.06615143681884933,0.9352772466539199,0.8630474913714374,20,logistic,2,grouped_low_soc_cv,full
651,0.16897081413210446,0.8003072196620584,0.6801587301587302,0.4295774647887324,0.5545454545454546,0.48412698412698413,0.13324690735103645,0.8047723071752647,0.539332804403268,20,logistic,3,grouped_low_soc_cv,full
639,0.5086071987480438,0.7136150234741784,0.7031460622815234,0.663594470046083,0.8861538461538462,0.758893280632411,0.2015460124680196,0.81109260166585,0.8005159531322067,20,logistic,4,grouped_low_soc_cv,full
655,0.40916030534351144,0.7053435114503817,0.6829709917767819,0.676056338028169,0.5373134328358209,0.5987525987525988,0.21099748877793176,0.749238304601026,0.71831690070601,20,logistic,5,grouped_low_soc_cv,full
352,0.03125,0.96875,0.49206349206349204,0.0,0.0,0.0,0.03073349214095372,0.7531324980005332,0.06666209999750702,20,logistic,0,untouched_high_soc_control,full
652,0.3328220858895706,0.7469325153374233,0.6711449401623183,0.7131147540983607,0.4009216589861751,0.5132743362831859,0.17282127930896324,0.7580804068012076,0.6797817714248862,20,extra_trees,1,grouped_low_soc_cv,full
643,0.18662519440124417,0.8491446345256609,0.7440717260622474,0.6036036036036037,0.5583333333333333,0.5800865800865801,0.12640827252468279,0.8138463989802421,0.47807662030430476,20,extra_trees,2,grouped_low_soc_cv,full
651,0.16897081413210446,0.8648233486943164,0.7442408657452051,0.6170212765957447,0.5272727272727272,0.5686274509803921,0.12106363307509552,0.8318853974121996,0.6345618408566819,20,extra_trees,3,grouped_low_soc_cv,full
639,0.5086071987480438,0.7323943661971831,0.7304695304695306,0.7961538461538461,0.6369230769230769,0.7076923076923077,0.19464422939437492,0.78859382655561,0.8076098240022623,20,extra_trees,4,grouped_low_soc_cv,full
655,0.40916030534351144,0.7145038167938931,0.7049272345766452,0.6505576208178439,0.6529850746268657,0.6517690875232774,0.19626089777694586,0.7508870376798179,0.5855842366971482,20,extra_trees,5,grouped_low_soc_cv,full
352,0.03125,0.96875,0.49206349206349204,0.0,0.0,0.0,0.05360020354260702,0.7640629165555851,0.12212686123286894,20,extra_trees,0,untouched_high_soc_control,full
652,0.3328220858895706,0.7285276073619632,0.6342685466006218,0.6923076923076923,0.3317972350230415,0.4485981308411215,0.1856795665781359,0.7469675300598548,0.6489013356006708,20,random_forest,1,grouped_low_soc_cv,full
643,0.18662519440124417,0.8553654743390358,0.7610267230940764,0.6134453781512605,0.6083333333333333,0.6108786610878661,0.11061926444709726,0.9047960484384959,0.6880643238049371,20,random_forest,2,grouped_low_soc_cv,full
651,0.16897081413210446,0.8602150537634409,0.7301056506467059,0.6067415730337079,0.4909090909090909,0.542713567839196,0.10494434368103636,0.8451688791799696,0.662501896671608,20,random_forest,3,grouped_low_soc_cv,full
639,0.5086071987480438,0.7464788732394366,0.7445866724566736,0.8146718146718147,0.6492307692307693,0.7226027397260274,0.19046774487261017,0.797373836354728,0.8267741363424002,20,random_forest,4,grouped_low_soc_cv,full
655,0.40916030534351144,0.7190839694656489,0.7173705044744199,0.625,0.7835820895522388,0.695364238410596,0.185863370122876,0.7958559913610245,0.7509133662931072,20,random_forest,5,grouped_low_soc_cv,full
352,0.03125,0.96875,0.49206349206349204,0.0,0.0,0.0,0.036988519325337685,0.8077845907757931,0.08129604617273074,20,random_forest,0,untouched_high_soc_control,full
