timestamp,X-coordinate,Y-coordinate,Going to ID,Speed,power consumption,Cumulative energy consumption,current consuption,Heading,Target reached,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,Target reached,Current segment,Position confidence,Battery value
07:39.3,-3.493998,21.81963,1,0,227,198785.5,5431,1.602891,1,0,0,1,74,100,49
07:39.3,-3.493998,21.81963,1,0,227,198785.5,5431,1.602891,1,0,0,1,74,100,49
07:39.3,-3.493998,21.81963,1,0,227,198785.5,5431,1.602891,1,0,0,1,74,100,49
07:39.4,-3.493998,21.81963,1,0,227,198785.5,5431,1.602891,1,0,0,1,74,100,49
07:39.4,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.4,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.5,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.5,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.5,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.6,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.6,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.6,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.7,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.7,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.7,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.7,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.8,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.8,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.8,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.9,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.9,-3.493998,21.81833,1,0,225,198818.7,5388,1.602891,1,0,0,1,74,100,49
07:39.9,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.0,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.0,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.0,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.1,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.1,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.1,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.2,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.2,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.2,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.3,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.3,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.3,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.3,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.4,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.4,-3.493998,21.81703,1,0,225,198851.8,5382,1.602891,1,0,0,1,74,100,49
07:40.4,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.5,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.5,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.5,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.6,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.6,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.6,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.7,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.7,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.7,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.8,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.8,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.8,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.9,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.9,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.9,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:40.9,-3.493998,21.81443,1,0,225,198885,5385,1.604636,1,0,0,1,74,100,49
07:41.0,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.0,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.0,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.1,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.1,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.1,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.2,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.2,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.2,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.3,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.3,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.3,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.4,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.4,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.4,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.5,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.5,-3.493998,21.81833,1,0,225,198918.2,5383,1.604636,1,0,0,1,74,100,49
07:41.5,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.5,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.6,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.6,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.6,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.7,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.7,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.7,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.8,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.8,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.8,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.9,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.9,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:41.9,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:42.0,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:42.0,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
07:42.0,-3.491398,21.81573,1,0,225,198951.3,5382,1.604636,1,0,0,1,74,100,49
