session,feature,non_null_fraction,unique
S3_MEDIUM_SOC_WHOLETESTING,wheel_l,1.0,269.0
S3_MEDIUM_SOC_WHOLETESTING,segment,1.0,128.0
S3_MEDIUM_SOC_WHOLETESTING,position_confidence,1.0,101.0
S3_MEDIUM_SOC_WHOLETESTING,snap_node_logged,0.0,0.0
S3_MEDIUM_SOC_WHOLETESTING,edge_u_logged,0.0,0.0
S3_MEDIUM_SOC_WHOLETESTING,edge_v_logged,0.0,0.0
S3_MEDIUM_SOC_WHOLETESTING,recorded_route,1.0,
S3_MEDIUM_SOC_WHOLETESTING,status,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,tms_action,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,hold_reason,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,brake_hold,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,scanner_hold,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,operator_hold,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,deadlock_hold,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,emergency_hold,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,safety_circuit,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,bumper,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,collision,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,telemetry_age_s,0.0,0.0
S3_MEDIUM_SOC_WHOLETESTING,network_condition,1.0,1.0
S3_MEDIUM_SOC_WHOLETESTING,source_annotation_quality,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,session,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,timestamp,0.9995195019533291,42480.0
S4_SAFETY_RICH_NAVEEN12,x,0.9995195019533291,6266.0
S4_SAFETY_RICH_NAVEEN12,y,0.9995195019533291,6671.0
S4_SAFETY_RICH_NAVEEN12,target_node,0.9995195019533291,21.0
S4_SAFETY_RICH_NAVEEN12,speed_mps,0.9995195019533291,653.0
S4_SAFETY_RICH_NAVEEN12,requested_speed_mps,0.0,0.0
S4_SAFETY_RICH_NAVEEN12,power_w,0.9995195019533291,92.0
S4_SAFETY_RICH_NAVEEN12,energy_cumulative,0.9995195019533291,7968.0
S4_SAFETY_RICH_NAVEEN12,current_ma,0.9995195019533291,906.0
S4_SAFETY_RICH_NAVEEN12,voltage_mv,0.0,0.0
S4_SAFETY_RICH_NAVEEN12,soc,0.9995195019533291,14.0
S4_SAFETY_RICH_NAVEEN12,heading,0.9995195019533291,5956.0
S4_SAFETY_RICH_NAVEEN12,target_reached,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,wheel_r,0.9995195019533291,359.0
S4_SAFETY_RICH_NAVEEN12,wheel_l,0.9995195019533291,362.0
S4_SAFETY_RICH_NAVEEN12,segment,0.9995195019533291,168.0
S4_SAFETY_RICH_NAVEEN12,position_confidence,0.9995195019533291,101.0
S4_SAFETY_RICH_NAVEEN12,snap_node_logged,0.0,0.0
S4_SAFETY_RICH_NAVEEN12,edge_u_logged,0.0,0.0
S4_SAFETY_RICH_NAVEEN12,edge_v_logged,0.0,0.0
S4_SAFETY_RICH_NAVEEN12,recorded_route,1.0,
S4_SAFETY_RICH_NAVEEN12,status,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,tms_action,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,hold_reason,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,brake_hold,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,scanner_hold,1.0,2.0
S4_SAFETY_RICH_NAVEEN12,operator_hold,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,deadlock_hold,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,emergency_hold,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,safety_circuit,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,bumper,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,collision,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,telemetry_age_s,0.0,0.0
S4_SAFETY_RICH_NAVEEN12,network_condition,1.0,1.0
S4_SAFETY_RICH_NAVEEN12,source_annotation_quality,1.0,1.0
S5_REAL_TMS_JULY10,session,1.0,1.0
S5_REAL_TMS_JULY10,timestamp,1.0,1190.0
S5_REAL_TMS_JULY10,x,1.0,803.0
S5_REAL_TMS_JULY10,y,1.0,847.0
S5_REAL_TMS_JULY10,target_node,1.0,7.0
S5_REAL_TMS_JULY10,speed_mps,1.0,243.0
S5_REAL_TMS_JULY10,requested_speed_mps,0.0,0.0
S5_REAL_TMS_JULY10,power_w,1.0,71.0
S5_REAL_TMS_JULY10,energy_cumulative,1.0,1190.0
S5_REAL_TMS_JULY10,current_ma,0.0,0.0
S5_REAL_TMS_JULY10,voltage_mv,1.0,258.0
S5_REAL_TMS_JULY10,soc,1.0,8.0
S5_REAL_TMS_JULY10,heading,1.0,802.0
S5_REAL_TMS_JULY10,target_reached,1.0,2.0
S5_REAL_TMS_JULY10,wheel_r,0.0,0.0
S5_REAL_TMS_JULY10,wheel_l,0.0,0.0
S5_REAL_TMS_JULY10,segment,1.0,74.0
S5_REAL_TMS_JULY10,position_confidence,1.0,54.0
S5_REAL_TMS_JULY10,snap_node_logged,1.0,25.0
S5_REAL_TMS_JULY10,edge_u_logged,0.9092436974789916,25.0
S5_REAL_TMS_JULY10,edge_v_logged,0.9092436974789916,25.0
S5_REAL_TMS_JULY10,recorded_route,1.0,
S5_REAL_TMS_JULY10,status,1.0,5.0
S5_REAL_TMS_JULY10,tms_action,1.0,17.0
S5_REAL_TMS_JULY10,hold_reason,1.0,5.0
S5_REAL_TMS_JULY10,brake_hold,1.0,2.0
S5_REAL_TMS_JULY10,scanner_hold,1.0,2.0
S5_REAL_TMS_JULY10,operator_hold,1.0,2.0
S5_REAL_TMS_JULY10,deadlock_hold,1.0,2.0
S5_REAL_TMS_JULY10,emergency_hold,1.0,2.0
S5_REAL_TMS_JULY10,safety_circuit,1.0,1.0
S5_REAL_TMS_JULY10,bumper,1.0,1.0
S5_REAL_TMS_JULY10,collision,1.0,1.0
S5_REAL_TMS_JULY10,telemetry_age_s,0.0,0.0
S5_REAL_TMS_JULY10,network_condition,1.0,1.0
S5_REAL_TMS_JULY10,source_annotation_quality,1.0,1.0
